PDB,dsx,glide,rf_score,vina,HMScore,Experimental
1add,-106.105,-7.4,-9.8407776443,-7.77067,-8.234044293,-9.311654116
1lgw,-58.961,-6.94,-6.3812006223,-5.8743,-7.294589575,-5.526204223
1lgt,-76.494,-7.99,-8.5815453462,-8.4686,-9.284023095,-8.42746144
1v0l,-88.531,-5.7,-6.8631846028,-6.20934,-7.612346317,-10.43071047
2f6t,-117.319,-9.29,-7.9683734061,-8.36022,-9.726119433,-6.382765878
1x8j,-114.75,-7.9,-10.1978208342,-9.87508,-10.16821577,-9.615595348
1x8d,-62.425,-7.5,-6.4122308992,-5.17796,-7.515637744,-3.053227833
1oyq,-148.752,-10.04,-10.5156622856,-8.13903,-9.297838606,-9.615595348
1xq0,-87.72,-5.78,-9.4671541931,-6.29318,-9.201130032,-8.759033694
1x8t,-124.112,-10.95,-7.8947865077,-8.20971,-10.38926394,-10.77609824
1x8r,-125.157,-9.85,-7.8487651999,-8.74906,-10.51360353,-8.455092462
1o3i,-92.243,-7.95,-8.1633139442,-7.53094,-8.703771652,-10.08532271
1bap,-50.592,-7.31,-6.1638696138,-6.02419,-7.501822233,-9.463624732
1hwr,-162.244,-8.03,-9.752120433,-8.8644,-10.88662232,-11.50832029
1sbg,-199.257,-10.29,-10.8043198046,-10.18593,-12.57211461,-10.69320517
1nwl,-85.621,-4.73,-8.6725385979,-5.26208,-7.874841018,-3.301907023
1o2z,-128.275,-8.03,-10.2476264071,-7.46017,-8.814295736,-8.441276951
1x38,-108.35,-8.53,-9.2131024251,-8.16048,-9.145867989,-12.11620276
1x39,-116.201,-8.78,-9.1475526531,-8.17179,-8.897188799,-12.73790073
1i00,-102.707,-5.17,-9.291650995,-6.51486,-8.482723483,-8.759033694
2hxm,-121.476,-10.95,-8.5163600384,-7.69782,-8.579432057,-7.211696511
1v2u,-68.052,-8.2,-6.4496265016,-5.3901,-7.073541406,-4.655827058
2bpv,-223.845,-11.72,-10.7524791387,-10.53514,-11.89515459,-10.5964966
1jn2,-75.356,-3.38,-6.5906186908,-4.65635,-8.358383888,-5.650543818
1bai,-286.705,-14.34,-10.2137021411,-8.88069,-13.12473503,-10.63794313
1tkb,-132.872,-11.33,-8.577332691,-9.69271,-9.864274538,-11.05240845
2izl,-110.444,-9.75,-8.4612309231,-7.71988,-8.537985525,-8.289306335
1jn4,-168.891,-10.54,-8.1243206482,-8.64404,-9.104421458,-6.838677726
2ez7,-31.87,-4.52,-6.7573942027,-3.4089,-6.065009135,-6.023562603
1qka,-202.174,-11.63,-8.8198422353,-9.09347,-10.45834149,-8.17878225
1b51,-169.693,-11.34,-7.1702405701,-7.39622,-9.284023095,-10.18203128
1ssq,-40.042,-5.85,-7.7951365391,-3.77518,-6.230795262,-8.289306335
1awi,-223.718,-14.03,-8.9532404299,-12.14964,-13.38722973,-5.595281776
1b05,-179.149,-10,-9.6123392628,-7.77113,-9.781381475,-9.836643517
1b32,-188.81,-11.29,-10.1046943557,-8.14331,-9.974798623,-9.809012496
2a4m,-54.894,-5.84,-7.5441807773,-5.46716,-7.584715296,-6.244610772
1b74,-54.593,-5.28,-6.5968684872,-4.18437,-6.548552004,-1.796016373
1fo0,-313.693,-19.34,-9.3174413786,-12.37377,-15.8325751,-7.722870402
2i3h,-176.404,-11.51,-9.0655535987,-8.28223,-10.69320517,-10.22347781
1qaw,-97.131,-9.24,-7.4095008512,-8.2099,-9.17349901,-7.073541406
1b5j,-182.424,-11.81,-7.8231427348,-9.1477,-10.05769169,-10.26492434
1wdn,-87.862,-9.44,-7.4931790341,-6.23718,-7.639977339,-8.703771652
2olb,-198.902,-11.3,-9.2079713588,-7.97653,-9.822828007,-7.653792849
1laf,-97.062,-8.1,-7.6078599181,-6.61072,-8.16496674,-10.84517579
1lag,-81.246,-8.62,-8.1744677325,-5.05793,-7.653792849,-8.703771652
2bsu,-252.981,-15.26,-8.7873534893,-9.23912,-13.51156933,-7.819578976
1b40,-202.997,-12.17,-9.44511152,-9.40293,-10.5964966,-10.05769169
1b3f,-188.664,-11.7,-9.1314822375,-8.28762,-9.726119433,-9.518886774
1b3g,-187.015,-9.84,-9.7986603543,-8.05621,-10.14058475,-9.256392074
1b46,-185.333,-10.62,-9.6669442721,-8.13891,-9.767565964,-7.294589575
1b3l,-153.009,-10.55,-8.5413583582,-7.01069,-8.786664715,-8.137335719
1b3h,-208.534,-11.59,-9.4447099492,-9.41984,-10.70702068,-8.579432057
1b58,-207.91,-12.6,-8.8693446379,-9.83048,-11.17674804,-9.104421458
1jet,-167.589,-10.92,-8.2782724846,-8.02818,-9.422178201,-10.01624515
1jeu,-186.282,-10.61,-7.7236184006,-8.39399,-9.974798623,-9.422178201
1b5i,-178.49,-10.16,-7.5405762018,-8.3973,-9.643226369,-9.739934943
1jq8,-140.04,-6.95,-10.5368601046,-7.0982,-9.947167602,-8.289306335
1utc,-194.143,-14.99,-10.2899231117,-8.92232,-13.09710401,-6.286057304
1jev,-221.987,-11.96,-8.4720480527,-9.52947,-10.94188436,-9.518886774
